identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
cdno.news.e.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:03 UTC,2025-08-04 14:58:03 UTC
ext-sandboxlb.cloudintegration.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:08 UTC,2025-09-04 06:26:08 UTC
elastic.k8s.electrificationtools.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:07 UTC,2025-09-04 06:26:07 UTC
motor-inspection-service.motion.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:55 UTC,2025-09-08 07:17:55 UTC
industrialsolutions.pl.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:06 UTC,2025-09-08 07:12:06 UTC
editst.cn.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:06 UTC,2025-09-04 06:26:06 UTC
api-cr02.abilityplatform02.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:13 UTC,2025-03-31 17:15:13 UTC
mqtts-iot-ci01.abilityplatform02.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:24 UTC,2025-08-04 14:56:24 UTC
e-mobility-capitalmarketsday.events.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:41 UTC,2025-09-04 06:25:41 UTC
mx.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:55 UTC,2025-09-08 07:17:55 UTC
*.abb.co.in,WILDCARD,,false,true,,,,critical,,2023-11-29 07:36:33 UTC,2025-07-14 07:25:19 UTC
de-s-0116864_4.de.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:40 UTC,2025-09-04 06:25:40 UTC
af.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
cn-s-appe001p.cn.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:03 UTC,2025-08-04 14:58:03 UTC
actricity.ch.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
gatemanager.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:09 UTC,2025-09-04 06:26:09 UTC
new.marketplace.ability.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:24 UTC,2025-08-04 14:56:24 UTC
http://beta.baldorvip.com,URL,,false,true,,,,critical,,2025-09-18 08:45:38 UTC,2025-09-18 08:45:38 UTC
https://testconfig.baldor.com/,URL,,false,true,,,,critical,,2025-09-22 07:44:09 UTC,2025-09-22 07:44:09 UTC
einvoice.tr.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:06 UTC,2025-09-04 06:26:06 UTC
elsp-digitalproduct-resources.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:07 UTC,2025-09-04 06:26:07 UTC
chargers.accept.evcharging.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:14 UTC,2025-03-31 17:15:14 UTC
cn.cdn.connect.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:04 UTC,2025-08-04 14:58:04 UTC
nexuspro.emergencylighting.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:57 UTC,2025-09-08 07:17:57 UTC
el-sales.ca.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:06 UTC,2025-09-04 06:26:06 UTC
ausbildungsverwaltung.de.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:13 UTC,2025-03-31 17:15:13 UTC
classicpartsprojects.motion.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:03 UTC,2025-08-04 14:58:03 UTC
nps.cloudintegration.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:57 UTC,2025-09-08 07:17:57 UTC
industrialsolutions.anz.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:05 UTC,2025-09-08 07:12:05 UTC
